time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-25T21:55:42.149Z,28.5611,52.7403,10,4.4,mb,20,95,4.749,0.79,us,us7000j2jz,2023-03-07T19:00:05.040Z,"35 km SSE of F?r?z?b?d, Iran",earthquake,8.05,1.869,0.203,7,reviewed,us,us
2022-12-25T17:49:57.720Z,34.1297,57.1703,10,4.2,mb,49,83,9.191,0.57,us,us6000jbmj,2023-03-07T18:59:48.040Z,"Northeastern Iran",earthquake,8.41,1.9,0.118,20,reviewed,us,us
2022-12-25T16:48:43.795Z,28.6564,51.6318,10,4.1,mb,20,97,5.509,0.31,us,us6000jbma,2023-03-07T18:59:48.040Z,"79 km SSE of Bor?zj?n, Iran",earthquake,10.77,1.979,0.157,11,reviewed,us,us
2022-12-24T20:20:00.018Z,27.716,56.2185,10,4.1,mb,28,113,2.759,0.84,us,us7000j2bq,2023-03-07T19:00:04.040Z,"southern Iran",earthquake,12.08,1.933,0.165,10,reviewed,us,us
2022-12-24T13:24:39.123Z,34.0313,57.1703,10,5.3,mww,75,68,9.094,0.75,us,us6000jbg1,2023-03-07T18:59:45.040Z,"53 km NNE of Tabas, Iran",earthquake,7.31,1.852,0.075,17,reviewed,us,us
2022-12-22T13:29:46.719Z,38.724,56.2301,10,4.5,mb,31,163,9.004,1.12,us,us6000jb2g,2023-02-28T23:06:44.040Z,"28 km S of Serdar, Turkmenistan",earthquake,8.46,1.932,0.113,23,reviewed,us,us
2022-12-13T14:14:27.412Z,33.9776,57.144,10,5.1,mww,90,63,9.038,0.45,us,us6000j8zz,2023-02-18T22:04:08.040Z,"46 km NNE of Tabas, Iran",earthquake,7.76,1.8,0.068,21,reviewed,us,us
2022-12-12T03:57:57.785Z,26.7486,55.0158,10,4.2,mb,48,113,2.091,0.44,us,us6000j8ps,2023-02-18T22:04:05.040Z,"25 km NNE of Bandar-e Lengeh, Iran",earthquake,10.3,1.905,0.095,31,reviewed,us,us
2022-12-11T08:05:56.959Z,32.509,48.9717,10,4.7,mb,73,91,3.754,0.49,us,us6000j8k2,2023-02-18T22:04:03.040Z,"western Iran",earthquake,7.81,1.854,0.065,72,reviewed,us,us
2022-12-08T05:13:04.849Z,27.6687,53.0469,10,4.3,mb,33,213,9.709,0.6,us,us6000j7u8,2023-02-11T23:03:15.040Z,"20 km NE of Mohr, Iran",earthquake,14.57,1.994,0.113,22,reviewed,us,us
2022-12-06T05:25:17.533Z,37.2873,62.376,10,4.3,mb,23,170,6.064,0.43,us,us6000j77f,2023-02-11T23:03:10.040Z,"Turkmenistan",earthquake,9.48,1.964,0.187,8,reviewed,us,us
2022-12-05T05:17:09.564Z,29.9952,51.1002,10,4.2,mb,47,68,6.771,0.43,us,us6000j85g,2023-02-11T23:03:20.040Z,"42 km WSW of N?r?b?d, Iran",earthquake,6.82,1.832,0.102,27,reviewed,us,us
2022-12-02T20:49:59.063Z,26.8276,55.2041,16.531,4.2,mb,68,42,2.08,0.61,us,us6000j6fe,2023-02-05T23:26:09.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,7.99,2.06,0.077,52,reviewed,us,us
2022-12-02T06:43:13.525Z,26.7394,55.1025,10,4.4,mb,45,87,2.044,0.45,us,us6000j68r,2023-02-05T23:25:59.040Z,"29 km NE of Bandar-e Lengeh, Iran",earthquake,8.58,1.882,0.102,28,reviewed,us,us
2022-12-01T23:29:33.142Z,26.8687,55.1851,10,4.2,mb,63,55,2.124,0.75,us,us6000j66u,2023-02-05T23:25:54.040Z,"45 km NE of Bandar-e Lengeh, Iran",earthquake,5.55,1.686,0.078,46,reviewed,us,us
2022-12-01T18:54:44.734Z,32.1274,50.2736,10,4.3,mb,50,66,4.829,0.63,us,us6000j658,2023-02-05T23:25:53.040Z,"30 km WSW of F?rs?n, Iran",earthquake,4.86,1.861,0.102,27,reviewed,us,us
2022-12-01T18:18:10.128Z,26.8375,55.1998,10,4.7,mb,111,41,2.09,0.85,us,us6000j64v,2023-02-05T23:25:52.040Z,"44 km NE of Bandar-e Lengeh, Iran",earthquake,7.65,1.826,0.049,125,reviewed,us,us
2022-11-30T22:19:32.961Z,26.8076,55.1829,10,4.2,mb,68,98,2.07,0.69,us,us6000j5vx,2023-02-05T23:25:38.040Z,"40 km NE of Bandar-e Lengeh, Iran",earthquake,5.68,1.888,0.078,46,reviewed,us,us
2022-11-30T17:18:04.181Z,26.8456,55.1789,16.891,4.6,mb,94,37,2.106,0.76,us,us6000j5ua,2023-02-05T23:25:36.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,7.7,3.768,0.058,88,reviewed,us,us
2022-11-30T15:17:41.697Z,26.8866,55.2391,6,5.7,mww,126,30,2.12,0.62,us,us6000j5sn,2023-02-05T23:25:35.040Z,"southern Iran",earthquake,7.76,1.764,0.048,42,reviewed,us,us
2022-11-24T15:56:24.765Z,32.7346,47.4777,15.818,4.3,mb,77,124,2.79,0.67,us,us7000is3z,2023-01-30T06:01:33.040Z,"20 km ENE of Dehlor?n, Iran",earthquake,8.53,4.678,0.079,49,reviewed,us,us
2022-11-17T23:35:38.021Z,38.4916,45.1001,10,4.2,mb,30,54,1.614,0.81,us,us7000irkd,2023-01-28T19:58:29.040Z,"14 km ESE of Khowy, Iran",earthquake,4.02,1.637,0.166,10,reviewed,us,us
